CustomerID,cluster
CUST00000,1
CUST00001,0
CUST00002,0
CUST00003,1
CUST00004,1
CUST00005,1
CUST00006,1
CUST00007,1
CUST00008,0
CUST00009,0
CUST00010,0
CUST00011,0
CUST00012,1
CUST00013,1
CUST00014,1
CUST00015,0
CUST00016,0
CUST00017,1
CUST00018,0
CUST00019,0
CUST00020,1
CUST00021,1
CUST00022,1
CUST00023,0
CUST00024,0
CUST00025,0
CUST00026,1
CUST00027,0
CUST00028,0
CUST00029,1
CUST00030,1
CUST00031,0
CUST00032,1
CUST00033,1
CUST00034,1
CUST00035,0
CUST00036,0
CUST00037,1
CUST00038,1
CUST00039,1
CUST00040,1
CUST00041,0
CUST00042,1
CUST00043,0
CUST00044,0
CUST00045,0
CUST00046,0
CUST00047,1
CUST00048,1
CUST00049,0
CUST00050,1
CUST00051,1
CUST00052,0
CUST00053,0
CUST00054,1
CUST00055,0
CUST00056,0
CUST00057,0
CUST00058,1
CUST00059,0
CUST00060,0
CUST00061,0
CUST00062,1
CUST00063,0
CUST00064,0
CUST00065,0
CUST00066,1
CUST00067,0
CUST00068,0
CUST00069,1
CUST00070,0
CUST00071,1
CUST00072,0
CUST00073,1
CUST00074,0
CUST00075,0
CUST00076,1
CUST00077,1
CUST00078,1
CUST00079,0
CUST00080,1
CUST00081,1
CUST00082,0
CUST00083,0
CUST00084,1
CUST00085,0
CUST00086,1
CUST00087,0
CUST00088,0
CUST00089,0
CUST00090,0
CUST00091,0
CUST00092,0
CUST00093,1
CUST00094,0
CUST00095,1
CUST00096,0
CUST00097,0
CUST00098,1
CUST00099,1
CUST00100,0
CUST00101,0
CUST00102,0
CUST00103,0
CUST00104,1
CUST00105,1
CUST00106,0
CUST00107,0
CUST00108,0
CUST00109,0
CUST00110,0
CUST00111,1
CUST00112,1
CUST00113,0
CUST00114,0
CUST00115,0
CUST00116,1
CUST00117,0
CUST00118,1
CUST00119,0
CUST00120,0
CUST00121,0
CUST00122,0
CUST00123,0
CUST00124,1
CUST00125,1
CUST00126,0
CUST00127,0
CUST00128,0
CUST00129,0
CUST00130,1
CUST00131,1
CUST00132,1
CUST00133,1
CUST00134,1
CUST00135,0
CUST00136,0
CUST00137,0
CUST00138,0
CUST00139,0
CUST00140,1
CUST00141,0
CUST00142,0
CUST00143,0
CUST00144,0
CUST00145,0
CUST00146,0
CUST00147,0
CUST00148,0
CUST00149,1
CUST00150,0
CUST00151,0
CUST00152,0
CUST00153,1
CUST00154,0
CUST00155,0
CUST00156,1
CUST00157,1
CUST00158,0
CUST00159,1
CUST00160,0
CUST00161,1
CUST00162,0
CUST00163,1
CUST00164,0
CUST00165,0
CUST00166,1
CUST00167,0
CUST00168,0
CUST00169,0
CUST00170,0
CUST00171,0
CUST00172,0
CUST00173,0
CUST00174,0
CUST00175,0
CUST00176,1
CUST00177,0
CUST00178,0
CUST00179,0
CUST00180,0
CUST00181,0
CUST00182,0
CUST00183,1
CUST00184,1
CUST00185,0
CUST00186,0
CUST00187,1
CUST00188,0
CUST00189,1
CUST00190,0
CUST00191,1
CUST00192,1
CUST00193,1
CUST00194,0
CUST00195,1
CUST00196,1
CUST00197,1
CUST00198,0
CUST00199,1
CUST00200,0
CUST00201,0
CUST00202,1
CUST00203,0
CUST00204,1
CUST00205,1
CUST00206,0
CUST00207,0
CUST00208,1
CUST00209,1
CUST00210,0
CUST00211,0
CUST00212,0
CUST00213,1
CUST00214,0
CUST00215,1
CUST00216,0
CUST00217,1
CUST00218,0
CUST00219,1
CUST00220,0
CUST00221,1
CUST00222,1
CUST00223,0
CUST00224,1
CUST00225,0
CUST00226,0
CUST00227,0
CUST00228,0
CUST00229,0
CUST00230,0
CUST00231,0
CUST00232,0
CUST00233,1
CUST00234,1
CUST00235,1
CUST00236,0
CUST00237,0
CUST00238,0
CUST00239,0
CUST00240,1
CUST00241,0
CUST00242,1
CUST00243,1
CUST00244,0
CUST00245,0
CUST00246,0
CUST00247,1
CUST00248,0
CUST00249,0
CUST00250,0
CUST00251,1
CUST00252,0
CUST00253,1
CUST00254,0
CUST00255,1
CUST00256,0
CUST00257,0
CUST00258,0
CUST00259,1
CUST00260,0
CUST00261,1
CUST00262,1
CUST00263,1
CUST00264,1
CUST00265,0
CUST00266,0
CUST00267,1
CUST00268,0
CUST00269,1
CUST00270,0
CUST00271,0
CUST00272,1
CUST00273,1
CUST00274,0
CUST00275,0
CUST00276,0
CUST00277,0
CUST00278,1
CUST00279,0
CUST00280,0
CUST00281,0
CUST00282,1
CUST00283,1
CUST00284,1
CUST00285,0
CUST00286,0
CUST00287,0
CUST00288,1
CUST00289,0
CUST00290,1
CUST00291,0
CUST00292,0
CUST00293,0
CUST00294,1
CUST00295,1
CUST00296,0
CUST00297,1
CUST00298,1
CUST00299,0
CUST00300,0
CUST00301,1
CUST00302,0
CUST00303,0
CUST00304,1
CUST00305,1
CUST00306,1
CUST00307,0
CUST00308,1
CUST00309,0
CUST00310,1
CUST00311,0
CUST00312,0
CUST00313,0
CUST00314,0
CUST00315,0
CUST00316,1
CUST00317,0
CUST00318,0
CUST00319,1
CUST00320,1
CUST00321,0
