Year,CustomerID,Event
2022,CUST00002,Retirement Drift
2022,CUST00006,Retirement Drift
2022,CUST00007,Spending Drift
2022,CUST00013,Spending Drift
2022,CUST00019,Promotion
2022,CUST00024,Promotion
2022,CUST00026,Policy Lapse
2022,CUST00027,Channel Drift
2022,CUST00028,Promotion
2022,CUST00029,Spending Drift
2022,CUST00034,Channel Drift
2022,CUST00037,Health Shock
2022,CUST00037,Retirement Drift
2022,CUST00042,Divorce
2022,CUST00043,Spending Drift
2022,CUST00044,Promotion
2022,CUST00047,Channel Drift
2022,CUST00048,Retirement
2022,CUST00048,Retirement Drift
2022,CUST00062,Policy Lapse
2022,CUST00062,Channel Drift
2022,CUST00063,Health Shock
2022,CUST00065,Promotion
2022,CUST00066,Childbirth
2022,CUST00066,Spending Drift
2022,CUST00067,Retirement Drift
2022,CUST00069,Policy Lapse
2022,CUST00076,Retirement
2022,CUST00076,Channel Drift
2022,CUST00076,Retirement Drift
2022,CUST00077,Retirement Drift
2022,CUST00079,Spending Drift
2022,CUST00080,Policy Lapse
2022,CUST00080,Retirement Drift
2022,CUST00081,Retirement
2022,CUST00081,Policy Lapse
2022,CUST00081,Retirement Drift
2022,CUST00084,Retirement Drift
2022,CUST00085,Channel Drift
2022,CUST00088,Channel Drift
2022,CUST00090,Promotion
2022,CUST00093,Retirement Drift
2022,CUST00095,Spending Drift
2022,CUST00098,Promotion
2022,CUST00099,Channel Drift
2022,CUST00110,Retirement Drift
2022,CUST00111,Channel Drift
2022,CUST00111,Retirement Drift
2022,CUST00112,Spending Drift
2022,CUST00113,Promotion
2022,CUST00114,Promotion
2022,CUST00115,Marriage
2022,CUST00120,Promotion
2022,CUST00123,Retirement
2022,CUST00123,Divorce
2022,CUST00123,Retirement Drift
2022,CUST00124,Retirement Drift
2022,CUST00126,Spending Drift
2022,CUST00128,Retirement Drift
2022,CUST00133,Spending Drift
2022,CUST00134,Channel Drift
2022,CUST00135,Retirement Drift
2022,CUST00137,Promotion
2022,CUST00138,Promotion
2022,CUST00140,Health Shock
2022,CUST00141,Promotion
2022,CUST00141,Channel Drift
2022,CUST00142,Spending Drift
2022,CUST00144,Retirement Drift
2022,CUST00147,Promotion
2022,CUST00148,Spending Drift
2022,CUST00149,Policy Lapse
2022,CUST00152,Promotion
2022,CUST00152,Spending Drift
2022,CUST00153,Policy Lapse
2022,CUST00153,Policy Reactivation
2022,CUST00154,Promotion
2022,CUST00160,Spending Drift
2022,CUST00164,Spending Drift
2022,CUST00176,Channel Drift
2022,CUST00177,Spending Drift
2022,CUST00180,Promotion
2022,CUST00180,Childbirth
2022,CUST00180,Channel Drift
2022,CUST00181,Retirement Drift
2022,CUST00189,Retirement
2022,CUST00189,Retirement Drift
2022,CUST00191,Retirement
2022,CUST00191,Retirement Drift
2022,CUST00194,Promotion
2022,CUST00197,Spending Drift
2022,CUST00198,Promotion
2022,CUST00199,Channel Drift
2022,CUST00201,Promotion
2022,CUST00204,Policy Lapse
2022,CUST00204,Policy Reactivation
2022,CUST00209,Policy Lapse
2022,CUST00209,Policy Reactivation
2022,CUST00215,Divorce
2022,CUST00218,Spending Drift
2022,CUST00229,Promotion
2022,CUST00230,Spending Drift
2022,CUST00233,Job Loss
2022,CUST00234,Retirement Drift
2022,CUST00237,Promotion
2022,CUST00238,Promotion
2022,CUST00239,Promotion
2022,CUST00240,Job Loss
2022,CUST00241,Spending Drift
2022,CUST00244,Channel Drift
2022,CUST00245,Promotion
2022,CUST00247,Channel Drift
2022,CUST00247,Retirement Drift
2022,CUST00249,Retirement Drift
2022,CUST00250,Channel Drift
2022,CUST00255,Retirement Drift
2022,CUST00258,Promotion
2022,CUST00259,Spending Drift
2022,CUST00259,Retirement Drift
2022,CUST00263,Policy Lapse
2022,CUST00268,Promotion
2022,CUST00269,Retirement Drift
2022,CUST00281,Spending Drift
2022,CUST00283,Spending Drift
2022,CUST00285,Promotion
2022,CUST00291,Retirement Drift
2022,CUST00293,Channel Drift
2022,CUST00294,Retirement
2022,CUST00294,Policy Lapse
2022,CUST00294,Spending Drift
2022,CUST00294,Channel Drift
2022,CUST00294,Retirement Drift
2022,CUST00295,Retirement Drift
2022,CUST00296,Marriage
2022,CUST00297,Spending Drift
2022,CUST00298,Retirement
2022,CUST00298,Retirement Drift
2022,CUST00300,Spending Drift
2022,CUST00301,Channel Drift
2022,CUST00305,Retirement Drift
2022,CUST00307,Spending Drift
2022,CUST00308,Spending Drift
2022,CUST00311,Promotion
2022,CUST00313,Divorce
2022,CUST00314,Spending Drift
2022,CUST00317,Promotion
2022,CUST00320,Retirement
2022,CUST00320,Divorce
2022,CUST00320,Spending Drift
2022,CUST00320,Retirement Drift
2022,CUST00324,Retirement Drift
2022,CUST00326,Health Shock
2022,CUST00326,Retirement Drift
2022,CUST00328,Retirement
2022,CUST00328,Retirement Drift
2022,CUST00332,Retirement Drift
2022,CUST00334,Retirement Drift
2022,CUST00337,Retirement Drift
2022,CUST00346,Spending Drift
2022,CUST00350,Policy Lapse
2022,CUST00350,Policy Reactivation
2022,CUST00358,Promotion
2022,CUST00358,Channel Drift
2022,CUST00359,Spending Drift
2022,CUST00360,Channel Drift
2022,CUST00360,Retirement Drift
2022,CUST00361,Channel Drift
2022,CUST00362,Promotion
2022,CUST00363,Channel Drift
2022,CUST00372,Job Loss
2022,CUST00376,Policy Lapse
2022,CUST00378,Spending Drift
2022,CUST00383,Channel Drift
2022,CUST00387,Job Loss
2022,CUST00389,Promotion
2022,CUST00389,Channel Drift
2022,CUST00390,Promotion
2022,CUST00395,Spending Drift
2022,CUST00396,Retirement Drift
2022,CUST00397,Retirement
2022,CUST00397,Spending Drift
2022,CUST00397,Retirement Drift
2022,CUST00398,Channel Drift
2022,CUST00401,Job Loss
2022,CUST00401,Policy Lapse
2022,CUST00404,Promotion
2022,CUST00407,Retirement
2022,CUST00407,Retirement Drift
2022,CUST00409,Spending Drift
2022,CUST00410,Channel Drift
2022,CUST00413,Spending Drift
2022,CUST00415,Job Loss
2022,CUST00416,Divorce
2022,CUST00420,Job Loss
2022,CUST00421,Retirement Drift
2022,CUST00425,Retirement
2022,CUST00425,Retirement Drift
2022,CUST00426,Spending Drift
2022,CUST00427,Policy Lapse
2022,CUST00428,Spending Drift
2022,CUST00429,Retirement
2022,CUST00429,Retirement Drift
2022,CUST00433,Childbirth
2022,CUST00433,Divorce
2022,CUST00437,Retirement Drift
2022,CUST00442,Promotion
2022,CUST00446,Retirement Drift
2022,CUST00452,Divorce
2022,CUST00459,Promotion
2022,CUST00465,Retirement
2022,CUST00465,Channel Drift
2022,CUST00465,Retirement Drift
2022,CUST00466,Spending Drift
2022,CUST00475,Retirement Drift
2022,CUST00476,Spending Drift
2022,CUST00476,Retirement Drift
2022,CUST00478,Promotion
2022,CUST00481,Policy Lapse
2022,CUST00481,Policy Reactivation
2022,CUST00486,Spending Drift
2022,CUST00491,Promotion
2022,CUST00494,Promotion
2022,CUST00495,Job Loss
2022,CUST00496,Health Shock
2022,CUST00497,Promotion
2022,CUST00498,Promotion
2022,CUST00503,Channel Drift
2022,CUST00503,Retirement Drift
2022,CUST00505,Retirement
2022,CUST00505,Retirement Drift
2022,CUST00506,Job Loss
2022,CUST00509,Divorce
2022,CUST00510,Spending Drift
2022,CUST00511,Promotion
2022,CUST00512,Spending Drift
2022,CUST00518,Spending Drift
2022,CUST00518,Retirement Drift
2022,CUST00520,Promotion
2022,CUST00521,Spending Drift
2022,CUST00522,Channel Drift
2022,CUST00523,Job Loss
2022,CUST00523,Spending Drift
2022,CUST00524,Promotion
2022,CUST00525,Divorce
2022,CUST00526,Channel Drift
2022,CUST00529,Channel Drift
2022,CUST00529,Retirement Drift
2022,CUST00531,Retirement Drift
2022,CUST00533,Promotion
2022,CUST00533,Divorce
2022,CUST00534,Retirement Drift
2022,CUST00535,Spending Drift
2022,CUST00540,Promotion
2022,CUST00541,Spending Drift
2022,CUST00543,Childbirth
2022,CUST00545,Spending Drift
2022,CUST00547,Retirement Drift
2022,CUST00548,Channel Drift
2022,CUST00550,Channel Drift
2022,CUST00551,Promotion
2022,CUST00551,Spending Drift
2022,CUST00551,Channel Drift
2022,CUST00559,Channel Drift
2022,CUST00562,Promotion
2022,CUST00562,Childbirth
2022,CUST00562,Spending Drift
2022,CUST00564,Channel Drift
2022,CUST00566,Spending Drift
2022,CUST00572,Spending Drift
2022,CUST00574,Retirement Drift
2022,CUST00575,Spending Drift
2022,CUST00575,Channel Drift
2022,CUST00578,Spending Drift
2022,CUST00579,Job Loss
2022,CUST00582,Policy Lapse
2022,CUST00582,Policy Reactivation
2022,CUST00583,Promotion
2022,CUST00584,Channel Drift
2022,CUST00587,Promotion
2022,CUST00588,Channel Drift
2022,CUST00589,Policy Lapse
2022,CUST00591,Spending Drift
2022,CUST00597,Policy Lapse
2022,CUST00599,Channel Drift
2022,CUST00600,Channel Drift
2022,CUST00600,Retirement Drift
2022,CUST00601,Spending Drift
2022,CUST00603,Policy Lapse
2022,CUST00608,Spending Drift
2022,CUST00611,Retirement Drift
2022,CUST00619,Spending Drift
2022,CUST00621,Channel Drift
2022,CUST00623,Promotion
2022,CUST00624,Retirement Drift
2022,CUST00625,Spending Drift
2022,CUST00627,Spending Drift
2022,CUST00628,Policy Lapse
2022,CUST00628,Policy Reactivation
2022,CUST00629,Retirement Drift
2022,CUST00631,Spending Drift
